dist,dist_t,pvalue_t,med_dist,dist_5,dist_95,z,embed_type,cov_p_value,data_size
0.11137256241173815,69.21260645148847,0.0,0.11423855026102342,0.10520617381870728,0.12482773356042641,[0.06750974 0.06676071 0.11874462 ... 0.09345333 0.08089712 0.12636741],orig,0.0001999600079984003,8350
0.21376534167459255,263.6407963123138,0.0,0.21610553274960342,0.2065206618608557,0.22657468188969102,[0.06750974 0.06676071 0.11874462 ... 0.09345333 0.08089712 0.12636741],cond,0.0001999600079984003,8350
0.2258098980516218,295.08584383016,0.0,0.22786075012130896,0.21791789733089773,0.2397063559078783,[0.06750974 0.06676071 0.11874462 ... 0.09345333 0.08089712 0.12636741],uncond,0.0001999600079984003,8350
