Feature,Embed_Type,R2_Mean,R2_Median,R2_Std,R2_95%_CI_Lower,R2_95%_CI_Upper,MSE_Mean,MSE_Median,MSE_Std,MSE_95%_CI_Lower,MSE_95%_CI_Upper,Intercept,Coefficients
velDisp,uncond,0.6669608075339946,0.6668687936665213,0.014125139489283348,0.6402343386592609,0.6944366745646058,0.3396695989597347,0.33944357228917554,0.019556493238547887,0.30122233961765127,0.3773511836675659,-0.004932136241748642,"[0.22089609508320548, -0.10836469738477372, 0.28821303483763044, 0.11224538597385532, -0.20554492069759578, -0.24687024709045502, 0.32364514336037803, -0.16166144360939316, 0.5609657321951116, 0.06017382793397341]"
velDisp,cond+z,0.6874619957535981,0.687659115663495,0.01491503873766944,0.6568176424754859,0.7152694314133687,0.318658413769629,0.31804033048763436,0.0201182507749864,0.28238274692282533,0.3598323745779359,-0.07157447434142564,"[0.11217225492499967, -0.05508177299028065, 0.2335466132195479, 0.07532540768406318, -0.1335829960614145, -0.18780803012508843, 0.19849055893670198, -0.16540994680201176, 0.40262365067612627, -0.004842726721154909, 0.5466888344155364]"
d4000,orig,0.9141978844601903,0.914300647774748,0.0026242915306405913,0.908803696091577,0.9188752531881452,0.08528709794966235,0.08508214534826958,0.0028153102085743623,0.08030440464438258,0.09109473730120296,0.17827229638785022,"[0.7719848206589595, -0.6324771214071421, 0.2222616344353877, 0.9965218748547583, 0.560549787755518, -1.0877594614182264, 0.09946955191831608, -0.4832821482555965, 1.3687985333109471, -1.1424364165775849]"
d4000,cond,0.6967006825133514,0.6969434134266967,0.0032086033418879125,0.6903405265109771,0.7024533405846164,0.30150722472467545,0.30120484795852076,0.003814875344963911,0.2950471515657124,0.30958148216771986,-0.10784147253856062,"[0.43413053050398875, -0.1320124571768484, 0.06874255153012328, 0.10277356764407299, -0.20262731312432045, -0.3356252035139365, 0.1676118593229977, -0.26032241388554983, 0.40699679380863374, -0.21812119608377956]"
d4000,uncond,0.8045397476127546,0.8046567295492691,0.002803033052443819,0.7986718107667037,0.8099238091774614,0.1942368523921043,0.19407484115375184,0.0031789554688510446,0.1883561415009551,0.20067194947292058,-0.0011864320240812082,"[0.4929442810835959, -0.15893701717811176, 0.09134967568249697, 0.10532637081058037, -0.2634625247469508, -0.40479885864947285, 0.21131484855791072, -0.2442044374719502, 0.47871887763997917, -0.21147226772447109]"
d4000,cond+z,0.8022328168264822,0.8022319368074964,0.0027323674750026877,0.7968367596730839,0.8076268343172325,0.1965987703313538,0.1964492215015478,0.003176359079820722,0.19062986779824898,0.20286009424380144,-0.10649453993070486,"[0.43047615382858023, -0.1254398763084952, 0.06965795461897183, 0.11567468175975867, -0.20495023703906706, -0.3336622536211114, 0.16836291684113, -0.2457499722102699, 0.38918610723397573, -0.2220400078922779, 0.3262552714247665]"
extinction_r,orig,0.12118028233474101,0.12097487648304439,0.0039703702346761145,0.11364320616373728,0.12933752075811006,0.8972461790646611,0.8970680094758663,0.015388730278206057,0.8693636731870872,0.927936450953507,-0.23646692075961254,"[0.16632992976431368, 0.083620889399219, -2.2324769610498225, -0.1340539752715483, -0.8139805517177646, 0.3711835484739775, 0.013616854503563931, 0.5477086199810159, 0.8039969646741747, 0.1458046228067848]"
extinction_r,cond,0.14571567976173133,0.1457749904941802,0.00319406388804502,0.1393084890897857,0.15177049931470366,0.8716623654143948,0.871673477545148,0.01555821695263333,0.8416780628634871,0.9022127536259015,-0.02001105013406043,"[0.04596686684528368, -0.011808485836977918, -0.1983035425024489, -0.03263439445769725, -0.20166370873412323, -0.12319938780108985, -0.02251619514024813, 0.20570772712894111, 0.1349897230645919, 0.05389899687202993]"
extinction_r,uncond,0.133873202470916,0.1340009096549606,0.003193405002085061,0.12758836561363468,0.14004684955016117,0.88410231717076,0.883922377355135,0.015552533541475753,0.8547212670963916,0.9164625044520641,0.017068683975074002,"[0.054108029441426606, -0.013809816544269687, -0.19087619848221268, -0.0517384281602688, -0.21411439788821962, -0.13984908797662637, -0.031880197011972033, 0.19634464750720937, 0.13522480276281582, 0.031448314235527845]"
extinction_r,cond+z,0.1463392791971319,0.14638628630514,0.0032647957591957536,0.1399316945906643,0.15252540136388706,0.8712810421046179,0.8713599012192879,0.015530800182023245,0.8414695993698278,0.9026329480945141,-0.020094475516127825,"[0.046193209105160664, -0.012215573813698755, -0.1983602401070562, -0.03343345475805589, -0.20151983307622384, -0.12332096763651237, -0.022562713622345427, 0.20480514929592647, 0.13609286907479864, 0.0541417175326385, -0.020207373784975568]"
petroR50_r,orig,0.11875017896537447,0.11924966654480784,0.007630223789413968,0.10276248168168109,0.13163145442765656,0.8426231066583592,0.830928607377305,0.09243649761762018,0.7285743654379785,1.0730468220858147,0.14279612750730164,"[-0.7004133920167885, -0.46934402113642454, -0.5764107727265744, -1.3125102010786043, -0.6241569344625619, -0.34025628023257126, -0.9737864105455811, -0.02247729290154883, -0.44308195538406436, -0.7392859485374621]"
